agent_name,cherries_eaten,total_moves,agent_runtime,max_moves_without_cherry,grid_width,grid_height
random,2,3713,0.000927,4500,30,30
random,3,3201,0.002355,4500,30,30
random,2,1409,0.000518,4500,30,30
random,3,6957,0.002865,4500,30,30
random,3,3969,0.003019,4500,30,30
random,2,3544,0.002184,4500,30,30
random,5,3951,0.001245,4500,30,30
random,5,2002,0.000881,4500,30,30
random,3,2609,0.001538,4500,30,30
random,6,4145,0.002738,4500,30,30
manhattan,39,861,0.000944,4500,30,30
manhattan,26,531,0.000543,4500,30,30
manhattan,44,912,0.000998,4500,30,30
manhattan,28,684,0.000753,4500,30,30
manhattan,25,549,0.000514,4500,30,30
manhattan,14,400,0.000505,4500,30,30
manhattan,50,1098,0.001193,4500,30,30
manhattan,24,564,0.000554,4500,30,30
manhattan,37,804,0.000976,4500,30,30
manhattan,9,195,0.000203,4500,30,30
dfs,8,1461,0.001617,4500,30,30
dfs,20,5010,0.005545,4500,30,30
dfs,28,7316,0.008191,4500,30,30
dfs,13,3765,0.004963,4500,30,30
dfs,12,2571,0.002576,4500,30,30
dfs,9,2764,0.002538,4500,30,30
dfs,7,1615,0.001388,4500,30,30
dfs,38,10505,0.011307,4500,30,30
dfs,26,6715,0.006482,4500,30,30
dfs,20,5094,0.004762,4500,30,30
ida_dfs,97,3289,1.382890,4500,30,30
ida_dfs,87,2821,0.774574,4500,30,30
ida_dfs,82,2864,0.994990,4500,30,30
ida_dfs,60,1988,0.675097,4500,30,30
ida_dfs,76,2431,0.727926,4500,30,30
ida_dfs,32,895,0.230640,4500,30,30
ida_dfs,123,4093,1.977289,4500,30,30
ida_dfs,37,988,0.252890,4500,30,30
ida_dfs,73,2666,0.847479,4500,30,30
ida_dfs,79,2554,0.798119,4500,30,30
raw_hamilton,897,217628,0.196147,4500,30,30
raw_hamilton,897,201452,0.181370,4500,30,30
raw_hamilton,897,205000,0.185046,4500,30,30
raw_hamilton,897,200802,0.178738,4500,30,30
raw_hamilton,897,205428,0.184814,4500,30,30
raw_hamilton,897,197331,0.174888,4500,30,30
raw_hamilton,897,198624,0.179119,4500,30,30
raw_hamilton,897,205606,0.183340,4500,30,30
raw_hamilton,897,202049,0.182013,4500,30,30
raw_hamilton,897,197430,0.184237,4500,30,30
smart_snako,897,81340,117.904345,4500,30,30
smart_snako,897,84449,118.952372,4500,30,30
smart_snako,897,78577,114.859969,4500,30,30
smart_snako,897,79869,118.808086,4500,30,30
smart_snako,897,81733,118.237944,4500,30,30
smart_snako,897,79799,116.174451,4500,30,30
smart_snako,897,79042,115.573701,4500,30,30
smart_snako,897,80488,115.841787,4500,30,30
smart_snako,897,88019,124.310518,4500,30,30
smart_snako,897,85732,121.716578,4500,30,30
random,1,3353,0.001360,4500,30,30
random,3,2404,0.001684,4500,30,30
random,3,2735,0.001203,4500,30,30
random,3,1772,0.000838,4500,30,30
random,4,5310,0.003913,4500,30,30
random,3,3489,0.001582,4500,30,30
random,4,2939,0.002106,4500,30,30
random,0,4501,0.001347,4500,30,30
random,3,1966,0.001591,4500,30,30
random,3,3637,0.002049,4500,30,30
manhattan,27,621,0.000572,4500,30,30
manhattan,33,799,0.000648,4500,30,30
manhattan,31,669,0.000556,4500,30,30
manhattan,47,1055,0.001030,4500,30,30
manhattan,38,778,0.000780,4500,30,30
manhattan,44,974,0.000933,4500,30,30
manhattan,40,907,0.000852,4500,30,30
manhattan,34,833,0.000841,4500,30,30
manhattan,54,1243,0.001116,4500,30,30
manhattan,58,1420,0.001412,4500,30,30
dfs,20,6045,0.007480,4500,30,30
dfs,23,4700,0.004974,4500,30,30
dfs,12,3178,0.003351,4500,30,30
dfs,16,4833,0.004286,4500,30,30
dfs,23,6337,0.005176,4500,30,30
dfs,16,5541,0.005867,4500,30,30
dfs,18,4209,0.003411,4500,30,30
dfs,40,11249,0.011662,4500,30,30
dfs,11,3599,0.003091,4500,30,30
dfs,38,8349,0.009738,4500,30,30
ida_dfs,81,2478,0.693817,4500,30,30
ida_dfs,91,2934,0.809444,4500,30,30
ida_dfs,109,3261,1.179186,4500,30,30
ida_dfs,57,1732,0.378022,4500,30,30
ida_dfs,111,3346,1.439988,4500,30,30
ida_dfs,81,2492,0.871172,4500,30,30
ida_dfs,100,3260,0.984449,4500,30,30
ida_dfs,52,1670,0.525141,4500,30,30
ida_dfs,96,2965,1.131915,4500,30,30
ida_dfs,98,3126,1.023029,4500,30,30
raw_hamilton,897,202510,0.182562,4500,30,30
raw_hamilton,897,199426,0.178140,4500,30,30
raw_hamilton,897,199717,0.176412,4500,30,30
raw_hamilton,897,198116,0.182931,4500,30,30
raw_hamilton,897,199655,0.179284,4500,30,30
raw_hamilton,897,201481,0.179650,4500,30,30
raw_hamilton,897,206249,0.180331,4500,30,30
raw_hamilton,897,196118,0.174696,4500,30,30
raw_hamilton,897,197762,0.178489,4500,30,30
raw_hamilton,897,208024,0.185275,4500,30,30
smart_snako,897,80369,116.553420,4500,30,30
smart_snako,897,79681,112.128462,4500,30,30
smart_snako,897,81653,118.241666,4500,30,30
smart_snako,897,80327,115.215979,4500,30,30
smart_snako,897,80742,126.512970,4500,30,30
smart_snako,897,82348,124.540203,4500,30,30
smart_snako,897,77543,116.945297,4500,30,30
smart_snako,897,81340,140.914747,4500,30,30
smart_snako,897,81777,122.376800,4500,30,30
smart_snako,897,80131,116.827436,4500,30,30
random,1,6152,0.002346,4500,30,30
random,2,4642,0.002263,4500,30,30
random,4,5292,0.001814,4500,30,30
random,0,4501,0.003683,4500,30,30
random,3,3895,0.001213,4500,30,30
random,4,2255,0.001085,4500,30,30
random,3,6386,0.001141,4500,30,30
random,5,2647,0.001354,4500,30,30
random,3,5197,0.002030,4500,30,30
random,1,3216,0.000814,4500,30,30
manhattan,24,446,0.000428,4500,30,30
manhattan,15,343,0.000296,4500,30,30
manhattan,39,816,0.000827,4500,30,30
manhattan,38,738,0.000739,4500,30,30
manhattan,39,803,0.000720,4500,30,30
manhattan,18,396,0.000378,4500,30,30
manhattan,29,500,0.000472,4500,30,30
manhattan,41,855,0.000788,4500,30,30
manhattan,40,892,0.000875,4500,30,30
manhattan,28,643,0.000572,4500,30,30
dfs,7,1780,0.001635,4500,30,30
dfs,19,4888,0.004995,4500,30,30
dfs,5,1078,0.001478,4500,30,30
dfs,22,5432,0.007021,4500,30,30
dfs,13,3339,0.003432,4500,30,30
dfs,31,8616,0.008991,4500,30,30
dfs,20,5538,0.005847,4500,30,30
dfs,27,5212,0.005510,4500,30,30
dfs,23,5239,0.004926,4500,30,30
dfs,24,6089,0.006683,4500,30,30
ida_dfs,83,2655,0.890661,4500,30,30
ida_dfs,70,2178,0.614076,4500,30,30
ida_dfs,71,1954,0.705320,4500,30,30
ida_dfs,40,967,0.200170,4500,30,30
ida_dfs,67,1975,0.486042,4500,30,30
ida_dfs,94,2848,1.149219,4500,30,30
ida_dfs,14,435,0.112726,4500,30,30
ida_dfs,73,2312,0.676926,4500,30,30
ida_dfs,104,3136,0.931743,4500,30,30
ida_dfs,105,3649,1.470199,4500,30,30
raw_hamilton,897,205111,0.186003,4500,30,30
raw_hamilton,897,198933,0.178323,4500,30,30
raw_hamilton,897,196841,0.173784,4500,30,30
raw_hamilton,897,200508,0.174733,4500,30,30
raw_hamilton,897,200886,0.180100,4500,30,30
raw_hamilton,897,199281,0.179775,4500,30,30
raw_hamilton,897,205633,0.188171,4500,30,30
raw_hamilton,897,196654,0.177433,4500,30,30
raw_hamilton,897,195975,0.180230,4500,30,30
raw_hamilton,897,204899,0.179235,4500,30,30
smart_snako,897,80755,117.820269,4500,30,30
smart_snako,897,78687,114.167880,4500,30,30
smart_snako,897,81357,114.440797,4500,30,30
smart_snako,897,81212,119.346691,4500,30,30
smart_snako,897,80340,127.018355,4500,30,30
smart_snako,897,82785,116.345523,4500,30,30
smart_snako,897,78995,113.398745,4500,30,30
smart_snako,897,79802,113.077430,4500,30,30
smart_snako,897,79825,117.511745,4500,30,30
smart_snako,897,79486,115.955401,4500,30,30
random,1,4508,0.000505,4500,30,30
random,2,4140,0.002719,4500,30,30
random,2,1304,0.000498,4500,30,30
random,1,7458,0.003443,4500,30,30
random,2,1234,0.000742,4500,30,30
random,3,3806,0.001641,4500,30,30
random,2,1397,0.000215,4500,30,30
random,2,1213,0.000491,4500,30,30
random,2,1302,0.000970,4500,30,30
random,3,5991,0.004163,4500,30,30
manhattan,35,691,0.000647,4500,30,30
manhattan,16,394,0.000356,4500,30,30
manhattan,33,750,0.000765,4500,30,30
manhattan,34,838,0.000844,4500,30,30
manhattan,35,722,0.000633,4500,30,30
manhattan,20,391,0.000351,4500,30,30
manhattan,35,731,0.000664,4500,30,30
manhattan,30,614,0.000517,4500,30,30
manhattan,45,1057,0.001268,4500,30,30
manhattan,33,801,0.000776,4500,30,30
dfs,10,2276,0.002062,4500,30,30
dfs,16,4167,0.004419,4500,30,30
dfs,17,4647,0.005095,4500,30,30
dfs,19,4896,0.004597,4500,30,30
dfs,17,4852,0.005077,4500,30,30
dfs,19,4462,0.004663,4500,30,30
dfs,19,4580,0.003779,4500,30,30
dfs,6,2016,0.001915,4500,30,30
dfs,11,2983,0.003190,4500,30,30
dfs,17,4428,0.004816,4500,30,30
ida_dfs,93,2772,0.862036,4500,30,30
ida_dfs,72,2072,0.502094,4500,30,30
ida_dfs,87,2693,0.789098,4500,30,30
ida_dfs,65,1868,0.863859,4500,30,30
ida_dfs,86,2710,0.644643,4500,30,30
ida_dfs,47,1279,0.289405,4500,30,30
ida_dfs,89,2252,0.417965,4500,30,30
ida_dfs,63,1938,0.499897,4500,30,30
ida_dfs,71,2533,0.789354,4500,30,30
ida_dfs,62,1975,0.863943,4500,30,30
raw_hamilton,897,198423,0.183043,4500,30,30
raw_hamilton,897,199263,0.181637,4500,30,30
raw_hamilton,897,200789,0.183923,4500,30,30
raw_hamilton,897,199991,0.178381,4500,30,30
raw_hamilton,897,198944,0.184931,4500,30,30
raw_hamilton,897,205203,0.183682,4500,30,30
raw_hamilton,897,205364,0.189905,4500,30,30
raw_hamilton,897,207662,0.186263,4500,30,30
raw_hamilton,897,203840,0.185718,4500,30,30
raw_hamilton,897,197044,0.177890,4500,30,30
smart_snako,897,86288,122.244997,4500,30,30
smart_snako,897,83266,118.239253,4500,30,30
smart_snako,897,81632,119.099929,4500,30,30
smart_snako,897,82104,117.822553,4500,30,30
smart_snako,897,81088,114.413661,4500,30,30
smart_snako,897,79973,115.412513,4500,30,30
smart_snako,897,82936,122.031880,4500,30,30
smart_snako,897,78880,113.323631,4500,30,30
smart_snako,897,81888,114.572196,4500,30,30
smart_snako,897,80045,113.146448,4500,30,30
random,1,1409,0.000678,4500,30,30
random,3,4972,0.001944,4500,30,30
random,0,4501,0.000319,4500,30,30
random,0,4501,0.001572,4500,30,30
random,5,4850,0.002536,4500,30,30
random,3,1127,0.000211,4500,30,30
random,3,6004,0.002560,4500,30,30
random,4,3033,0.002138,4500,30,30
random,3,5517,0.003447,4500,30,30
random,1,2434,0.000547,4500,30,30
manhattan,65,1424,0.001407,4500,30,30
manhattan,28,619,0.000516,4500,30,30
manhattan,30,555,0.000537,4500,30,30
manhattan,28,533,0.000521,4500,30,30
manhattan,41,1020,0.000945,4500,30,30
manhattan,38,929,0.000661,4500,30,30
manhattan,28,689,0.000680,4500,30,30
manhattan,18,306,0.000319,4500,30,30
manhattan,42,981,0.000858,4500,30,30
manhattan,42,787,0.000775,4500,30,30
dfs,12,3527,0.002949,4500,30,30
dfs,19,4862,0.006154,4500,30,30
dfs,33,9327,0.008135,4500,30,30
dfs,25,6206,0.006991,4500,30,30
dfs,23,6037,0.005675,4500,30,30
dfs,26,5728,0.006253,4500,30,30
dfs,15,3412,0.003357,4500,30,30
dfs,29,5529,0.007418,4500,30,30
dfs,40,10212,0.009704,4500,30,30
dfs,23,6355,0.006238,4500,30,30
ida_dfs,46,1270,0.247795,4500,30,30
ida_dfs,96,2778,1.134474,4500,30,30
ida_dfs,64,1772,0.471441,4500,30,30
ida_dfs,87,3066,1.000867,4500,30,30
ida_dfs,39,1087,0.243222,4500,30,30
ida_dfs,84,2567,0.687691,4500,30,30
ida_dfs,91,2805,0.893164,4500,30,30
ida_dfs,85,2568,0.743061,4500,30,30
ida_dfs,52,1376,0.296073,4500,30,30
ida_dfs,95,2952,0.987945,4500,30,30
raw_hamilton,897,204885,0.185600,4500,30,30
raw_hamilton,897,202820,0.182172,4500,30,30
raw_hamilton,897,200742,0.184677,4500,30,30
raw_hamilton,897,204888,0.180911,4500,30,30
raw_hamilton,897,208084,0.187093,4500,30,30
raw_hamilton,897,206552,0.185241,4500,30,30
raw_hamilton,897,204778,0.179913,4500,30,30
raw_hamilton,897,207444,0.188076,4500,30,30
raw_hamilton,897,198733,0.179205,4500,30,30
raw_hamilton,897,201765,0.188045,4500,30,30
smart_snako,897,84760,123.221353,4500,30,30
smart_snako,897,80943,115.946995,4500,30,30
smart_snako,897,83719,121.001342,4500,30,30
smart_snako,897,84061,118.502217,4500,30,30
smart_snako,897,80361,119.181225,4500,30,30
smart_snako,897,79150,115.707810,4500,30,30
smart_snako,897,75919,111.942681,4500,30,30
smart_snako,897,78535,111.601438,4500,30,30
smart_snako,897,82478,117.907534,4500,30,30
smart_snako,897,82271,118.301272,4500,30,30
random,2,1008,0.000452,4500,30,30
random,3,3336,0.001647,4500,30,30
random,2,1415,0.000628,4500,30,30
random,0,4501,0.003592,4500,30,30
random,1,1047,0.000313,4500,30,30
random,3,3113,0.001740,4500,30,30
random,1,2440,0.001729,4500,30,30
random,3,4047,0.002748,4500,30,30
random,1,1377,0.000721,4500,30,30
random,5,5906,0.002808,4500,30,30
manhattan,13,275,0.000232,4500,30,30
manhattan,45,942,0.000868,4500,30,30
manhattan,34,706,0.000681,4500,30,30
manhattan,42,948,0.000987,4500,30,30
manhattan,23,507,0.000535,4500,30,30
manhattan,36,836,0.000820,4500,30,30
manhattan,54,1206,0.001154,4500,30,30
manhattan,26,577,0.000518,4500,30,30
manhattan,30,649,0.000717,4500,30,30
manhattan,46,926,0.000859,4500,30,30
dfs,28,6763,0.005594,4500,30,30
dfs,13,1903,0.001855,4500,30,30
dfs,18,5148,0.006245,4500,30,30
dfs,15,3888,0.003397,4500,30,30
dfs,37,9776,0.010974,4500,30,30
